v1_comment_number	v2_comment_number(s)	mapping_status	v1_checklist_item_id	v2_checklist_item_id
68	68	equal	cc-10:AE-01	cc-10:AE-01
69	69	equal	cc-10:AE-02	cc-10:AE-02
70	70	equal	cc-10:AE-03	cc-10:AE-03
71	71	equal	cc-10:AEGB-02	cc-10:AEGB-02
72	72	equal	cc-13:AW-01	cc-13:AW-01
73	73	equal	cc-13:AW-02	cc-13:AW-02
74	74	equal	cc-13:AW-03	cc-13:AW-03
75		?	cc-13:AW-04	(not in diff)
76	75	equal	cc-13:AW-05	cc-13:AW-05
77	76	equal	cc-13:AW-06	cc-13:AW-06
78	77	equal	cc-13:AW-07	cc-13:AW-07
79	78	equal	cc-13:AW-08	cc-13:AW-08
80		?	cc-13:AW-09	(not in diff)
81	79	equal	cc-13:AW-10	cc-13:AW-10
82	80	equal	cc-13:AW-11	cc-13:AW-11
83	81	equal	cc-13:AW-12	cc-13:AW-12
84	82	equal	cc-13:AW-13	cc-13:AW-13
85	83	equal	cc-13:AW-14	cc-13:AW-14
86		?	cc-13:AW-15	(not in diff)
87	84	equal	cc-13:AW-16	cc-13:AW-16
88		?	cc-13:AW-17	(not in diff)
89	85	equal	cc-13:AW-18	cc-13:AW-18
90	86	equal	cc-13:AW-19	cc-13:AW-19
91	87	equal	cc-13:AW-20	cc-13:AW-20
92	88	equal	cc-13:AW-21	cc-13:AW-21
93	89	equal	cc-13:AW-22	cc-13:AW-22
94	90	equal	cc-13:AW-23	cc-13:AW-23
95		?	cc-13:AW-24	(not in diff)
96	91	equal	cc-13:AW-25	cc-13:AW-25
97		?	cc-13:AW-26	(not in diff)
98	92	equal	cc-13:AW-27	cc-13:AW-27
99	93	equal	cc-13:AW-28	cc-13:AW-28
100	97	equal	cc-13:AW-32	cc-13:AW-32
101	98	equal	cc-13:AW-33	cc-13:AW-33
102	102	equal	cc-13:AW-38a	cc-13:AW-38a
103	104	equal	cc-13:AW-39	cc-13:AW-39
104	105	equal	cc-13:AW-41	cc-13:AW-41
105	110	equal	cc-15:CC-15-01	cc-15:CC-15-01
106	111	equal	cc-15:CC-15-02	cc-15:CC-15-02
107	112	equal	cc-15:CC-15-04	cc-15:CC-15-04
108	113	equal	cc-15:CC-15-05	cc-15:CC-15-05
109	114	equal	cc-15:CC-15-06	cc-15:CC-15-06
110	115	equal	cc-15:CC-15-07	cc-15:CC-15-07
111	116	equal	cc-15:CC-15-08	cc-15:CC-15-08
112	117	equal	cc-15:CC-15-09a	cc-15:CC-15-09a
113	118	equal	cc-15:CC-15-09b	cc-15:CC-15-09b
114	119	equal	cc-15:CC-15-10	cc-15:CC-15-10
115	120	equal	cc-15:CC-15-11	cc-15:CC-15-11
116	121	equal	cc-15:CC-15-12	cc-15:CC-15-12
117	122	equal	cc-15:CC-15-13	cc-15:CC-15-13
118	123	equal	cc-19:CC-19-01	cc-19:CC-19-01
119	124	equal	cc-19:CC-19-02	cc-19:CC-19-02
120	125	equal	cc-19:CC-19-03	cc-19:CC-19-03
121	126	equal	cc-19:CC-19-04	cc-19:CC-19-04
122	127	equal	cc-19:CC-19-05	cc-19:CC-19-05
123	128	equal	cc-19:CC-19-06	cc-19:CC-19-06
