deficiencyId	classification	shouldCall	subClassification	vision_check_called	routes	specialists_invoked
EL-1.1	horizontal	yes	distance-only	5	generic:4,drawing_inspect:1	vision
EL-1.10	horizontal	yes	distance-only	0		
EL-1.11	not-applicable	no		0		
EL-1.12	not-applicable	no		0		
EL-1.13	vertical-or-mixed	no		0		
EL-1.14	horizontal	yes	distance-only	0		
EL-1.15	horizontal	yes	distance-plus	0		
EL-1.16	vertical-or-mixed	no		0		
EL-1.17	not-applicable	no		0		
EL-1.18	vertical-or-mixed	no		0		
EL-1.19	vertical-or-mixed	no		0		
EL-1.2	horizontal	yes	distance-only	1	generic:1	vision
EL-1.20	vertical-or-mixed	no		1	generic:1	vision
EL-1.21	vertical-or-mixed	no		0		
EL-1.22	horizontal	yes	distance-only	0		
EL-1.23	not-applicable	no		0		
EL-1.24	horizontal	yes	distance-only	0		
EL-1.25	horizontal	yes	distance-only	0		
EL-1.26	horizontal	yes	distance-only	0		
EL-1.27	horizontal	yes	distance-only	0		
EL-1.28	horizontal	yes	distance-only	0		
EL-1.29	horizontal	yes	distance-only	0		
EL-1.3	vertical-or-mixed	no		0		
EL-1.30	horizontal	yes	distance-only	0		
EL-1.31	not-applicable	no		0		
EL-1.32	not-applicable	no		0		
EL-1.33	not-applicable	no		0		
EL-1.34	vertical-or-mixed	no		0		
EL-1.35	horizontal	yes	distance-only	0		
EL-1.36	horizontal	yes	distance-only	0		
EL-1.37	horizontal	yes	distance-plus	4	generic:3,measurement:1	vision
EL-1.38	not-applicable	no		0		
EL-1.39	horizontal	yes	distance-only	0		
EL-1.4	horizontal	yes	distance-only	0		
EL-1.40	horizontal	yes	distance-only	0		
EL-1.41	not-applicable	no		0		
EL-1.42	not-applicable	no		0		
EL-1.43	vertical-or-mixed	no		0		
EL-1.44	vertical-or-mixed	no		0		
EL-1.45	horizontal	yes	distance-only	0		
EL-1.46	not-applicable	no		2	generic:2	vision
EL-1.47	not-applicable	no		0		
EL-1.5	vertical-or-mixed	no		0		
EL-1.6	horizontal	yes	distance-only	0		
EL-1.7	not-applicable	no		2	generic:2	vision
EL-1.8	not-applicable	no		2	drawing_inspect:2	vision
EL-1.9	horizontal	yes	distance-only	0		
EL-13.1	horizontal	yes	distance-only	5	measurement:4,drawing_inspect:1	vision
EL-13.10	horizontal	yes	distance-plus	2	drawing_inspect:1,measurement:1	vision
EL-13.11	vertical-or-mixed	no		0		
EL-13.12	horizontal	yes	distance-only	0		
EL-13.13	horizontal	yes	distance-plus	3	measurement:3	vision
EL-13.14	horizontal	yes	distance-plus	0		
EL-13.15	horizontal	yes	distance-plus	0		
EL-13.16	horizontal	yes	distance-only	0		
EL-13.17	horizontal	yes	distance-only	0		
EL-13.18	horizontal	yes	distance-only	0		
EL-13.19	horizontal	yes	distance-only	0		
EL-13.2	horizontal	yes	distance-only	0		
EL-13.20	horizontal	yes	distance-only	0		
EL-13.21	vertical-or-mixed	no		0		
EL-13.22	vertical-or-mixed	no		0		
EL-13.23	vertical-or-mixed	no		0		
EL-13.24	vertical-or-mixed	no		0		
EL-13.25	vertical-or-mixed	no		1	measurement:1	vision
EL-13.26	vertical-or-mixed	no		0		
EL-13.27	horizontal	yes	distance-only	1	measurement:1	vision
EL-13.28	horizontal	yes	distance-only	0		
EL-13.29	vertical-or-mixed	no		0		
EL-13.3	horizontal	yes	distance-only	0		
EL-13.30	not-applicable	no		0		
EL-13.31	not-applicable	no		0		
EL-13.32	not-applicable	no		1	drawing_inspect:1	vision
EL-13.33	not-applicable	no		3	drawing_inspect:3	vision
EL-13.34	not-applicable	no		1	drawing_inspect:1	vision
EL-13.35	not-applicable	no		1	drawing_inspect:1	vision
EL-13.36	not-applicable	no		1	drawing_inspect:1	vision
EL-13.37	not-applicable	no		2	drawing_inspect:1,generic:1	vision
EL-13.38	horizontal	yes	distance-plus	3	generic:2,drawing_inspect:1	vision
EL-13.39	horizontal	yes	distance-only	0		
EL-13.4	vertical-or-mixed	no		0		
EL-13.5	vertical-or-mixed	no		0		
EL-13.6	vertical-or-mixed	no		0		
EL-13.7	horizontal	yes	distance-only	0		
EL-13.8	horizontal	yes	distance-only	0		
EL-13.9	horizontal	yes	distance-plus	0		
EL-2.1	horizontal	yes	distance-plus	4	drawing_inspect:2,generic:1,measurement:1	vision
EL-2.10	not-applicable	no		3	drawing_inspect:2,generic:1	vision
EL-2.11	not-applicable	no		2	generic:1,drawing_inspect:1	vision
EL-2.12	not-applicable	no		1	drawing_inspect:1	vision
EL-2.13	not-applicable	no		0		
EL-2.14	not-applicable	no		4	drawing_inspect:3,measurement:1	vision
EL-2.15	not-applicable	no		0		
EL-2.2	horizontal	yes	distance-plus	0		
EL-2.3	horizontal	yes	distance-plus	0		
EL-2.4	horizontal	yes	distance-plus	0		
EL-2.5	horizontal	yes	distance-plus	0		
EL-2.6	horizontal	yes	distance-only	3	measurement:2,drawing_inspect:1	vision
EL-2.7	horizontal	yes	distance-plus	1	generic:1	vision
EL-2.8	horizontal	yes	distance-only	0		
EL-2.9	horizontal	yes	distance-plus	0		
