item_id	run_index	run_label	tool_called	call_count	notes
cc-10:AE-01	1	VISION_EXP_INSPECT_DRAWING_RUN_1	none	0	
cc-10:AE-01	2	VISION_EXP_INSPECT_DRAWING_RUN_1	generic-vision	1	
cc-10:AE-01	3	VISION_EXP_INSPECT_DRAWING_RUN_1	none	0	
cc-10:AE-02	1	VISION_EXP_INSPECT_DRAWING_RUN_1	generic-vision	1	
cc-10:AE-02	2	VISION_EXP_INSPECT_DRAWING_RUN_1	generic-vision	1	
cc-10:AE-02	3	VISION_EXP_INSPECT_DRAWING_RUN_1	generic-vision	1	
cc-10:AE-03	1	VISION_EXP_INSPECT_DRAWING_RUN_1	generic-vision	1	
cc-10:AE-03	2	VISION_EXP_INSPECT_DRAWING_RUN_1	generic-vision	1	
cc-10:AE-03	3	VISION_EXP_INSPECT_DRAWING_RUN_1	generic-vision	1	
cc-10:AEGB-02	1	VISION_EXP_INSPECT_DRAWING_RUN_1	none	0	
cc-10:AEGB-02	2	VISION_EXP_INSPECT_DRAWING_RUN_1	none	0	
cc-10:AEGB-02	3	VISION_EXP_INSPECT_DRAWING_RUN_1	none	0	
cc-13:AW-01	1	VISION_EXP_INSPECT_DRAWING_RUN_1	none	0	
cc-13:AW-01	2	VISION_EXP_INSPECT_DRAWING_RUN_1	none	0	
cc-13:AW-01	3	VISION_EXP_INSPECT_DRAWING_RUN_1	none	0	
cc-13:AW-02	1	VISION_EXP_INSPECT_DRAWING_RUN_1	none	0	
cc-13:AW-02	2	VISION_EXP_INSPECT_DRAWING_RUN_1	none	0	
cc-13:AW-02	3	VISION_EXP_INSPECT_DRAWING_RUN_1	none	0	
cc-13:AW-03	1	VISION_EXP_INSPECT_DRAWING_RUN_1	none	0	
cc-13:AW-03	2	VISION_EXP_INSPECT_DRAWING_RUN_1	none	0	
cc-13:AW-03	3	VISION_EXP_INSPECT_DRAWING_RUN_1	none	0	
cc-13:AW-05	1	VISION_EXP_INSPECT_DRAWING_RUN_1	none	0	
cc-13:AW-05	2	VISION_EXP_INSPECT_DRAWING_RUN_1	none	0	
cc-13:AW-05	3	VISION_EXP_INSPECT_DRAWING_RUN_1	none	0	
cc-13:AW-06	1	VISION_EXP_INSPECT_DRAWING_RUN_1	none	0	
cc-13:AW-06	2	VISION_EXP_INSPECT_DRAWING_RUN_1	none	0	
cc-13:AW-06	3	VISION_EXP_INSPECT_DRAWING_RUN_1	none	0	
cc-13:AW-07	1	VISION_EXP_INSPECT_DRAWING_RUN_1	none	0	
cc-13:AW-07	2	VISION_EXP_INSPECT_DRAWING_RUN_1	none	0	
cc-13:AW-07	3	VISION_EXP_INSPECT_DRAWING_RUN_1	none	0	
cc-13:AW-08	1	VISION_EXP_INSPECT_DRAWING_RUN_1	none	0	
cc-13:AW-08	2	VISION_EXP_INSPECT_DRAWING_RUN_1	none	0	
cc-13:AW-08	3	VISION_EXP_INSPECT_DRAWING_RUN_1	none	0	
cc-13:AW-10	1	VISION_EXP_INSPECT_DRAWING_RUN_1	none	0	
cc-13:AW-10	2	VISION_EXP_INSPECT_DRAWING_RUN_1	none	0	
cc-13:AW-10	3	VISION_EXP_INSPECT_DRAWING_RUN_1	none	0	
cc-13:AW-11	1	VISION_EXP_INSPECT_DRAWING_RUN_1	none	0	
cc-13:AW-11	2	VISION_EXP_INSPECT_DRAWING_RUN_1	none	0	
cc-13:AW-11	3	VISION_EXP_INSPECT_DRAWING_RUN_1	none	0	
cc-13:AW-12	1	VISION_EXP_INSPECT_DRAWING_RUN_1	none	0	
cc-13:AW-12	2	VISION_EXP_INSPECT_DRAWING_RUN_1	none	0	
cc-13:AW-12	3	VISION_EXP_INSPECT_DRAWING_RUN_1	none	0	
cc-13:AW-13	1	VISION_EXP_INSPECT_DRAWING_RUN_1	none	0	
cc-13:AW-13	2	VISION_EXP_INSPECT_DRAWING_RUN_1	none	0	
cc-13:AW-13	3	VISION_EXP_INSPECT_DRAWING_RUN_1	none	0	
cc-13:AW-14	1	VISION_EXP_INSPECT_DRAWING_RUN_1	none	0	
cc-13:AW-14	2	VISION_EXP_INSPECT_DRAWING_RUN_1	none	0	
cc-13:AW-14	3	VISION_EXP_INSPECT_DRAWING_RUN_1	none	0	
cc-13:AW-16	1	VISION_EXP_INSPECT_DRAWING_RUN_1	none	0	
cc-13:AW-16	2	VISION_EXP_INSPECT_DRAWING_RUN_1	none	0	
cc-13:AW-16	3	VISION_EXP_INSPECT_DRAWING_RUN_1	none	0	
cc-13:AW-18	1	VISION_EXP_INSPECT_DRAWING_RUN_1	none	0	
cc-13:AW-18	2	VISION_EXP_INSPECT_DRAWING_RUN_1	none	0	
cc-13:AW-18	3	VISION_EXP_INSPECT_DRAWING_RUN_1	generic-vision	1	
cc-13:AW-19	1	VISION_EXP_INSPECT_DRAWING_RUN_1	generic-vision	1	
cc-13:AW-19	2	VISION_EXP_INSPECT_DRAWING_RUN_1	none	0	
