item_id	runs_total	runs_called	total_calls	vision_invoked	tool_called
EL-1.1	1	1	1	yes	vision-check-measure-distance
EL-1.10	1	0	0	no	none
EL-1.11	1	0	0	no	none
EL-1.12	1	0	0	no	none
EL-1.13	1	0	0	no	none
EL-1.14	1	1	1	yes	vision-check-measure-distance
EL-1.15	1	0	0	no	none
EL-1.16	1	0	0	no	none
EL-1.17	1	0	0	no	none
EL-1.18	1	1	1	yes	vision-check-generic
EL-1.19	1	0	0	no	none
EL-1.2	1	1	1	yes	vision-check-generic
EL-1.20	1	0	0	no	none
EL-1.21	1	0	0	no	none
EL-1.22	1	0	0	no	none
EL-1.23	1	0	0	no	none
EL-1.24	1	0	0	no	none
EL-1.25	1	0	0	no	none
EL-1.26	1	0	0	no	none
EL-1.27	1	1	1	yes	vision-check-generic
EL-1.28	1	0	0	no	none
EL-1.29	1	0	0	no	none
EL-1.3	1	0	0	no	none
EL-1.30	1	0	0	no	none
EL-1.31	1	0	0	no	none
EL-1.32	1	0	0	no	none
EL-1.33	1	0	0	no	none
EL-1.34	1	0	0	no	none
EL-1.35	1	0	0	no	none
EL-1.36	1	0	0	no	none
EL-1.37	1	1	1	yes	vision-check-measure-distance
EL-1.38	1	0	0	no	none
EL-1.39	1	0	0	no	none
EL-1.4	1	0	0	no	none
EL-1.40	1	0	0	no	none
EL-1.41	1	0	0	no	none
EL-1.42	1	0	0	no	none
EL-1.43	1	0	0	no	none
EL-1.44	1	0	0	no	none
EL-1.45	1	0	0	no	none
EL-1.46	1	0	0	no	none
EL-1.47	1	0	0	no	none
EL-1.5	1	0	0	no	none
EL-1.6	1	0	0	no	none
EL-1.7	1	0	0	no	none
EL-1.8	1	1	1	yes	vision-check-measure-distance
EL-1.9	1	1	1	yes	vision-check-measure-distance
EL-13.1	1	1	1	yes	vision-check-generic
EL-13.10	1	1	1	yes	vision-check-measure-distance
EL-13.11	1	0	0	no	none
EL-13.12	1	1	1	yes	vision-check-measure-distance
EL-13.13	1	1	1	yes	vision-check-measure-distance
EL-13.14	1	0	0	no	none
EL-13.15	1	0	0	no	none
EL-13.16	1	0	0	no	none
EL-13.17	1	0	0	no	none
EL-13.18	1	0	0	no	none
EL-13.19	1	1	1	yes	vision-check-generic
EL-13.2	1	0	0	no	none
EL-13.20	1	1	1	yes	vision-check-generic
EL-13.21	1	0	0	no	none
EL-13.22	1	0	0	no	none
EL-13.23	1	0	0	no	none
EL-13.24	1	0	0	no	none
EL-13.25	1	0	0	no	none
EL-13.26	1	0	0	no	none
EL-13.27	1	0	0	no	none
EL-13.28	1	0	0	no	none
EL-13.29	1	0	0	no	none
EL-13.3	1	0	0	no	none
EL-13.30	1	0	0	no	none
EL-13.31	1	0	0	no	none
EL-13.32	1	0	0	no	none
EL-13.33	1	0	0	no	none
EL-13.34	1	0	0	no	none
EL-13.35	1	1	1	yes	vision-check-generic
EL-13.36	1	0	0	no	none
EL-13.37	1	0	0	no	none
EL-13.38	1	1	1	yes	vision-check-generic
EL-13.39	1	0	0	no	none
EL-13.4	1	1	1	yes	vision-check-generic
EL-13.5	1	0	0	no	none
EL-13.6	1	0	0	no	none
EL-13.7	1	0	0	no	none
EL-13.8	1	0	0	no	none
EL-13.9	1	0	0	no	none
EL-2.1	1	1	1	yes	vision-check-generic
EL-2.10	1	1	1	yes	vision-check-generic
EL-2.11	1	1	1	yes	vision-check-generic
EL-2.12	1	1	1	yes	vision-check-generic
EL-2.13	1	1	1	yes	vision-check-generic
EL-2.14	1	1	1	yes	vision-check-generic
EL-2.15	1	1	1	yes	vision-check-generic
EL-2.2	1	0	0	no	none
EL-2.3	1	1	1	yes	vision-check-generic
EL-2.4	1	0	0	no	none
EL-2.5	1	0	0	no	none
EL-2.6	1	1	1	yes	vision-check-generic
EL-2.7	1	1	1	yes	vision-check-generic
EL-2.8	1	1	1	yes	vision-check-generic
EL-2.9	1	1	1	yes	vision-check-generic
